id	queueId	annotCellTreatment	annotCellLine	annotCellType	annotAnatomy	harvestSite	sourceSpecies	annotSpecies	annotDisease	annotDevStage	annotSex	note
3940563	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940562	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940560	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940559	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940478	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940477	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940476	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940475	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940474	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940473	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940472	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940471	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940470	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940469	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940468	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940467	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940466	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
2231991	1	0	K-562 cell	0	0	0	Homo Sapiens	0	0	0	0	
2231989	1	0	K-562 cell	0	0	0	Homo Sapiens	0	0	0	0	
2298822	1	0	WM-115 cell	0	0	0	Homo Sapiens	0	0	0	0	
2298820	1	0	WM-115 cell	0	0	0	Homo Sapiens	0	0	0	0	
4349977	1	0	VCaP cell	0	0	0	Homo Sapiens	0	0	0	0	
3160901	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
3160895	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
3160894	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
3160883	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
3160878	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
3160876	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
205386	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
205378	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
205370	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
1113337	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
1113335	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
1113334	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
2697336	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
2435014	4	0			performance	0	Homo Sapiens		0	0	0	
191469	4	0			performance	0	Homo Sapiens		0	0	0	
792330	4	0			performance	0	Homo Sapiens		0	0	0	
3380863	4	0			performance	0	Homo Sapiens		0	0	0	
3380862	4	0			performance	0	Homo Sapiens		0	0	0	
3380861	4	0			performance	0	Homo Sapiens		0	0	0	
3314473	4	0			performance	0	Homo Sapiens		0	0	0	
3314472	4	0			performance	0	Homo Sapiens		0	0	0	
1120126	4	0			performance	0	Homo Sapiens		0	0	0	
3160309	4	0			performance	0	Homo Sapiens		0	0	0	
809681	4	0			performance	0	Homo Sapiens		0	0	0	
809680	4	0			performance	0	Homo Sapiens		0	0	0	
809679	4	0			performance	0	Homo Sapiens		0	0	0	
809678	4	0			performance	0	Homo Sapiens		0	0	0	
809677	4	0			performance	0	Homo Sapiens		0	0	0	
809676	4	0			performance	0	Homo Sapiens		0	0	0	
809674	4	0			performance	0	Homo Sapiens		0	0	0	
792329	4	0			performance	0	Homo Sapiens		0	0	0	
792328	4	0			performance	0	Homo Sapiens		0	0	0	
620776	4	0			performance	0	Homo Sapiens		0	0	0	
4040930	4	0			performance	0	Homo Sapiens		0	0	0	
4040929	4	0			performance	0	Homo Sapiens		0	0	0	
3201291	4	0			performance	0	Homo Sapiens		0	0	0	
3201290	4	0			performance	0	Homo Sapiens		0	0	0	
3201289	4	0			performance	0	Homo Sapiens		0	0	0	
3201288	4	0			performance	0	Homo Sapiens		0	0	0	
2144393	4	0			performance	0	Homo Sapiens		0	0	0	
2144392	4	0			performance	0	Homo Sapiens		0	0	0	
848625	4	0			performance	0	Homo Sapiens		0	0	0	
848624	4	0			performance	0	Homo Sapiens		0	0	0	
4194114	4	0			performance	0	Homo Sapiens		0	0	0	
4194112	4	0			performance	0	Homo Sapiens		0	0	0	
4121940	4	0			performance	0	Homo Sapiens		0	0	0	
4121939	4	0			performance	0	Homo Sapiens		0	0	0	
4121938	4	0			performance	0	Homo Sapiens		0	0	0	
4121937	4	0			performance	0	Homo Sapiens		0	0	0	
3463639	4	0			performance	0	Homo Sapiens		0	0	0	
3463638	4	0			performance	0	Homo Sapiens		0	0	0	
3463637	4	0			performance	0	Homo Sapiens		0	0	0	
3463636	4	0			performance	0	Homo Sapiens		0	0	0	
3352113	4	0			performance	0	Homo Sapiens		0	0	0	
3352112	4	0			performance	0	Homo Sapiens		0	0	0	
3352111	4	0			performance	0	Homo Sapiens		0	0	0	
3352110	4	0			performance	0	Homo Sapiens		0	0	0	
3352109	4	0			performance	0	Homo Sapiens		0	0	0	
3352108	4	0			performance	0	Homo Sapiens		0	0	0	
3352107	4	0			performance	0	Homo Sapiens		0	0	0	
3352106	4	0			performance	0	Homo Sapiens		0	0	0	
3352105	4	0			performance	0	Homo Sapiens		0	0	0	
3201486	4	0			performance	0	Homo Sapiens		0	0	0	
3201485	4	0			performance	0	Homo Sapiens		0	0	0	
3201484	4	0			performance	0	Homo Sapiens		0	0	0	
3201483	4	0			performance	0	Homo Sapiens		0	0	0	
3201482	4	0			performance	0	Homo Sapiens		0	0	0	
3079754	4	0			performance	0	Homo Sapiens		0	0	0	
2867530	4	0			performance	0	Homo Sapiens		0	0	0	
2767700	4	0			performance	0	Homo Sapiens		0	0	0	
2767699	4	0			performance	0	Homo Sapiens		0	0	0	
2767698	4	0			performance	0	Homo Sapiens		0	0	0	
2767697	4	0			performance	0	Homo Sapiens		0	0	0	
2767696	4	0			performance	0	Homo Sapiens		0	0	0	
2767695	4	0			performance	0	Homo Sapiens		0	0	0	
2767694	4	0			performance	0	Homo Sapiens		0	0	0	
2767693	4	0			performance	0	Homo Sapiens		0	0	0	
2767692	4	0			performance	0	Homo Sapiens		0	0	0	
2726096	4	0			performance	0	Homo Sapiens		0	0	0	
2726095	4	0			performance	0	Homo Sapiens		0	0	0	
2726094	4	0			performance	0	Homo Sapiens		0	0	0	
2726093	4	0			performance	0	Homo Sapiens		0	0	0	
2726092	4	0			performance	0	Homo Sapiens		0	0	0	
2726091	4	0			performance	0	Homo Sapiens		0	0	0	
2664662	4	0			performance	0	Homo Sapiens		0	0	0	
2664661	4	0			performance	0	Homo Sapiens		0	0	0	
2664660	4	0			performance	0	Homo Sapiens		0	0	0	
260301	4	0			performance	0	Homo Sapiens		0	0	0	
260300	4	0			performance	0	Homo Sapiens		0	0	0	
260299	4	0			performance	0	Homo Sapiens		0	0	0	
260298	4	0			performance	0	Homo Sapiens		0	0	0	
260297	4	0			performance	0	Homo Sapiens		0	0	0	
260296	4	0			performance	0	Homo Sapiens		0	0	0	
260295	4	0			performance	0	Homo Sapiens		0	0	0	
260294	4	0			performance	0	Homo Sapiens		0	0	0	
260293	4	0			performance	0	Homo Sapiens		0	0	0	
260292	4	0			performance	0	Homo Sapiens		0	0	0	
260291	4	0			performance	0	Homo Sapiens		0	0	0	
260290	4	0			performance	0	Homo Sapiens		0	0	0	
260289	4	0			performance	0	Homo Sapiens		0	0	0	
260288	4	0			performance	0	Homo Sapiens		0	0	0	
260287	4	0			performance	0	Homo Sapiens		0	0	0	
260286	4	0			performance	0	Homo Sapiens		0	0	0	
260285	4	0			performance	0	Homo Sapiens		0	0	0	
260284	4	0			performance	0	Homo Sapiens		0	0	0	
260283	4	0			performance	0	Homo Sapiens		0	0	0	
260282	4	0			performance	0	Homo Sapiens		0	0	0	
260281	4	0			performance	0	Homo Sapiens		0	0	0	
260280	4	0			performance	0	Homo Sapiens		0	0	0	
260279	4	0			performance	0	Homo Sapiens		0	0	0	
2412447	4	0			performance	0	Homo Sapiens		0	0	0	
2412446	4	0			performance	0	Homo Sapiens		0	0	0	
2412445	4	0			performance	0	Homo Sapiens		0	0	0	
2412444	4	0			performance	0	Homo Sapiens		0	0	0	
2412443	4	0			performance	0	Homo Sapiens		0	0	0	
2412442	4	0			performance	0	Homo Sapiens		0	0	0	
2412441	4	0			performance	0	Homo Sapiens		0	0	0	
2412440	4	0			performance	0	Homo Sapiens		0	0	0	
2412439	4	0			performance	0	Homo Sapiens		0	0	0	
2412438	4	0			performance	0	Homo Sapiens		0	0	0	
2412437	4	0			performance	0	Homo Sapiens		0	0	0	
2412436	4	0			performance	0	Homo Sapiens		0	0	0	
2412435	4	0			performance	0	Homo Sapiens		0	0	0	
2412434	4	0			performance	0	Homo Sapiens		0	0	0	
2412433	4	0			performance	0	Homo Sapiens		0	0	0	
2412432	4	0			performance	0	Homo Sapiens		0	0	0	
2412431	4	0			performance	0	Homo Sapiens		0	0	0	
2412430	4	0			performance	0	Homo Sapiens		0	0	0	
2412429	4	0			performance	0	Homo Sapiens		0	0	0	
2412428	4	0			performance	0	Homo Sapiens		0	0	0	
2412427	4	0			performance	0	Homo Sapiens		0	0	0	
2412426	4	0			performance	0	Homo Sapiens		0	0	0	
2412425	4	0			performance	0	Homo Sapiens		0	0	0	
2412424	4	0			performance	0	Homo Sapiens		0	0	0	
2412423	4	0			performance	0	Homo Sapiens		0	0	0	
2412422	4	0			performance	0	Homo Sapiens		0	0	0	
2412421	4	0			performance	0	Homo Sapiens		0	0	0	
2412420	4	0			performance	0	Homo Sapiens		0	0	0	
2412419	4	0			performance	0	Homo Sapiens		0	0	0	
2260314	4	0			performance	0	Homo Sapiens		0	0	0	
2260313	4	0			performance	0	Homo Sapiens		0	0	0	
2260312	4	0			performance	0	Homo Sapiens		0	0	0	
2260311	4	0			performance	0	Homo Sapiens		0	0	0	
2260310	4	0			performance	0	Homo Sapiens		0	0	0	
2260309	4	0			performance	0	Homo Sapiens		0	0	0	
2260308	4	0			performance	0	Homo Sapiens		0	0	0	
2260307	4	0			performance	0	Homo Sapiens		0	0	0	
2197711	4	0			performance	0	Homo Sapiens		0	0	0	
2146983	4	0			performance	0	Homo Sapiens		0	0	0	
1924687	4	0			performance	0	Homo Sapiens		0	0	0	
1924686	4	0			performance	0	Homo Sapiens		0	0	0	
